Index,Date,Answer
971,2/14/2024,TALON
970,2/13/2024,SCRAM
969,2/12/2024,PASTA
968,2/11/2024,NEVER
967,2/10/2024,FRIED
966,2/9/2024,STIFF
965,2/8/2024,PLACE
964,2/7/2024,AFTER
963,2/6/2024,WHICH
962,2/5/2024,REPEL
961,2/4/2024,VERGE
960,2/3/2024,MICRO
959,2/2/2024,CLEFT
958,2/1/2024,ALIVE
957,1/31/2024,BULKY
956,1/30/2024,EXPEL
955,1/29/2024,LEGGY
954,1/28/2024,EMBER
953,1/27/2024,SNAKE
952,1/26/2024,ALOOF
951,1/25/2024,BLOCK
950,1/24/2024,RELIC
949,1/23/2024,STILL
948,1/22/2024,TWEAK
947,1/21/2024,NORTH
946,1/20/2024,LARGE
945,1/19/2024,THING
944,1/18/2024,STOLE
943,1/17/2024,COURT
942,1/16/2024,BLOND
941,1/15/2024,LUNCH
940,1/14/2024,DOING
939,1/13/2024,HEARD
938,1/12/2024,ROUTE
937,1/11/2024,BRIEF
936,1/10/2024,THREW
935,1/9/2024,LINER
934,1/8/2024,FINAL
933,1/7/2024,STONY
932,1/6/2024,CABLE
931,1/5/2024,LUNGE
930,1/4/2024,SCANT
929,1/3/2024,TWIRL
928,1/2/2024,AGING
927,1/1/2024,MURAL
926,12/31/2023,SALTY
925,12/30/2023,THREE
924,12/29/2023,CHILD
923,12/28/2023,LEARN
922,12/27/2023,DAISY
921,12/26/2023,PHONE
920,12/25/2023,EVOKE
919,12/24/2023,GRACE
918,12/23/2023,SLOPE
917,12/22/2023,TOUCH
916,12/21/2023,BUILT
915,12/20/2023,SMALL
914,12/19/2023,TABLE
913,12/18/2023,FUNNY
912,12/17/2023,BACON
911,12/16/2023,GLOBE
910,12/15/2023,TOPIC
909,12/14/2023,WOULD
908,12/13/2023,SPENT
907,12/12/2023,THESE
906,12/11/2023,HOUSE
905,12/10/2023,CHAIN
904,12/9/2023,SHIFT
903,12/8/2023,SHARP
902,12/7/2023,SLEEP
901,12/6/2023,WOMAN
900,12/5/2023,YOUNG
899,12/4/2023,WORST
898,12/3/2023,ADAPT
897,12/2/2023,GENRE
896,12/1/2023,TAKEN
895,11/30/2023,RESIN
894,11/29/2023,SUSHI
893,11/28/2023,SCOPE
892,11/27/2023,TAWNY
891,11/26/2023,SOLID
890,11/25/2023,GUIDE
889,11/24/2023,THROW
888,11/23/2023,QUEEN
887,11/22/2023,PIXEL
886,11/21/2023,PIANO
885,11/20/2023,CANDY
884,11/19/2023,QUEUE
883,11/18/2023,THINK
882,11/17/2023,TARDY
881,11/16/2023,TRUST
880,11/15/2023,SIGHT
879,11/14/2023,SASSY
878,11/13/2023,GREEN
877,11/12/2023,MEANT
876,11/11/2023,ACTOR
875,11/10/2023,LEASH
874,11/9/2023,GLAZE
873,11/8/2023,NINJA
872,11/7/2023,LIMIT
871,11/6/2023,TRADE
870,11/5/2023,FLARE
869,11/4/2023,MANIA
868,11/3/2023,ARDOR
867,11/2/2023,UNTIL
866,11/1/2023,NOISE
865,10/31/2023,BLEAK
864,10/30/2023,GRAIL
863,10/29/2023,PHONY
862,10/28/2023,MASON
861,10/27/2023,NOBLE
860,10/26/2023,PIQUE
859,10/25/2023,RETRY
858,10/24/2023,CAUSE
857,10/23/2023,TEMPO
856,10/22/2023,GIVEN
855,10/21/2023,SMIRK
854,10/20/2023,OCCUR
853,10/19/2023,SPLAT
852,10/18/2023,MERCY
851,10/17/2023,ADULT
850,10/16/2023,GRAPH
849,10/15/2023,LEAKY
848,10/14/2023,AGENT
847,10/13/2023,UNCLE
846,10/12/2023,KNELT
845,10/11/2023,SKUNK
844,10/10/2023,SNAIL
843,10/9/2023,TRUTH
842,10/8/2023,BINGE
841,10/7/2023,VIOLA
840,10/6/2023,CHIME
839,10/5/2023,BUNCH
838,10/4/2023,SPURT
837,10/3/2023,WHILE
836,10/2/2023,MERRY
835,10/1/2023,BERET
834,9/30/2023,DADDY
833,9/29/2023,AZURE
832,9/28/2023,COACH
831,9/27/2023,SMILE
830,9/26/2023,LOYAL
829,9/25/2023,ROCKY
828,9/24/2023,RIGHT
827,9/23/2023,CAROL
826,9/22/2023,BRUSH
825,9/21/2023,STONE
824,9/20/2023,SNARE
823,9/19/2023,CLOSE
822,9/18/2023,FRANK
821,9/17/2023,MUSIC
820,9/16/2023,ANGEL
819,9/15/2023,EXERT
818,9/14/2023,RAYON
817,9/13/2023,CLEAR
816,9/12/2023,WHISK
815,9/11/2023,OLDER
814,9/10/2023,QUOTE
813,9/9/2023,LUCKY
812,9/8/2023,ROUSE
811,9/7/2023,DWELL
810,9/6/2023,GNASH
809,9/5/2023,BIRCH
808,9/4/2023,GIDDY
807,9/3/2023,AWAIT
806,9/2/2023,ONION
805,9/1/2023,SPACE
804,8/31/2023,BRIDE
803,8/30/2023,AUDIO
802,8/29/2023,CAPER
801,8/28/2023,WRITE
800,8/27/2023,PEACE
799,8/26/2023,CHOIR
798,8/25/2023,OCEAN
797,8/24/2023,WORDY
796,8/23/2023,VERVE
795,8/22/2023,SPICE
794,8/21/2023,BEACH
793,8/20/2023,QUEST
792,8/19/2023,MAGMA
791,8/18/2023,EXACT
790,8/17/2023,AMISS
789,8/16/2023,SCRUB
788,8/15/2023,INDEX
787,8/14/2023,SNAKY
786,8/13/2023,WRATH
785,8/12/2023,QUICK
784,8/11/2023,HELLO
783,8/10/2023,EMPTY
782,8/9/2023,LOVER
781,8/8/2023,BULLY
780,8/7/2023,BROOK
779,8/6/2023,POLYP
778,8/5/2023,ANODE
777,8/4/2023,CHART
776,8/3/2023,PARTY
775,8/2/2023,BEGET
774,8/1/2023,TENTH
773,7/31/2023,STYLE
772,7/30/2023,BATHE
771,7/29/2023,CURLY
770,7/28/2023,ETHOS
769,7/27/2023,DISCO
768,7/26/2023,HEART
767,7/25/2023,WHEEL
766,7/24/2023,HOBBY
765,7/23/2023,WHALE
764,7/22/2023,FROZE
763,7/21/2023,BURLY
762,7/20/2023,FLANK
761,7/19/2023,TONIC
760,7/18/2023,FLYER
759,7/17/2023,DROOP
758,7/16/2023,TOPAZ
757,7/15/2023,CRONE
756,7/14/2023,FIEND
755,7/13/2023,BARGE
754,7/12/2023,WHIRL
753,7/11/2023,EARTH
752,7/10/2023,FOLLY
751,7/9/2023,ENTER
750,7/8/2023,COWER
749,7/7/2023,DONUT
748,7/6/2023,WINDY
747,7/5/2023,VENOM
746,7/4/2023,IRATE
745,7/3/2023,HOTEL
744,7/2/2023,MOSSY
743,7/1/2023,BLEEP
742,6/30/2023,STRAW
741,6/29/2023,DINER
740,6/28/2023,TRACT
739,6/27/2023,ABOUT
738,6/26/2023,GUEST
737,6/25/2023,RODEO
736,6/24/2023,GRAND
735,6/23/2023,COVET
734,6/22/2023,TASTE
733,6/21/2023,CRANE
732,6/20/2023,FROST
731,6/19/2023,KAZOO
730,6/18/2023,SHYLY
729,6/17/2023,RANCH
728,6/16/2023,STRAP
727,6/15/2023,MAYBE
726,6/14/2023,CRIME
725,6/13/2023,PLUNK
724,6/12/2023,WRONG
723,6/11/2023,GUARD
722,6/10/2023,AGAIN
721,6/9/2023,BALSA
720,6/8/2023,CRUMB
719,6/7/2023,HATER
718,6/6/2023,SCOUT
717,6/5/2023,ENNUI
716,6/4/2023,BEAST
715,6/3/2023,NANNY
714,6/2/2023,HUMID
713,6/1/2023,JAZZY
712,5/31/2023,AGILE
711,5/30/2023,KNEEL
710,5/29/2023,MOUSE
709,5/28/2023,SKIMP
708,5/27/2023,RAMEN
707,5/26/2023,SWINE
706,5/25/2023,BAGEL
705,5/24/2023,UTTER
704,5/23/2023,CLERK
703,5/22/2023,IGLOO
702,5/21/2023,BRASH
701,5/20/2023,FLASK
700,5/19/2023,GRIEF
699,5/18/2023,SHORN
698,5/17/2023,PLANK
697,5/16/2023,LATTE
696,5/15/2023,CANOE
695,5/14/2023,SCARF
694,5/13/2023,ACRID
693,5/12/2023,SNACK
692,5/11/2023,BROOM
691,5/10/2023,ETHIC
690,5/9/2023,COCOA
689,5/8/2023,AGLOW
688,5/7/2023,GHOUL
687,5/6/2023,ANGER
686,5/5/2023,BELOW
685,5/4/2023,GUPPY
684,5/3/2023,HORDE
683,5/2/2023,SULKY
682,5/1/2023,RANGE
681,4/30/2023,PLAZA
680,4/29/2023,CEDAR
679,4/28/2023,CIRCA
678,4/27/2023,LOGIC
677,4/26/2023,METRO
676,4/25/2023,JOKER
675,4/24/2023,DITTO
674,4/23/2023,UNZIP
673,4/22/2023,BROKE
672,4/21/2023,KAYAK
671,4/20/2023,PLATE
670,4/19/2023,THUMP
669,4/18/2023,HOUND
668,4/17/2023,WHIFF
667,4/16/2023,DWELT
666,4/15/2023,AGONY
665,4/14/2023,THIEF
664,4/13/2023,CARAT
663,4/12/2023,BORAX
662,4/11/2023,QUALM
661,4/10/2023,UNDER
660,4/9/2023,SNAFU
659,4/8/2023,LEDGE
658,4/7/2023,LOCUS
657,4/6/2023,LEAFY
656,4/5/2023,SMASH
655,4/4/2023,RATIO
654,4/3/2023,FLORA
653,4/2/2023,STOCK
652,4/1/2023,MARCH
651,3/31/2023,EVERY
650,3/30/2023,BREAD
649,3/29/2023,BESET
648,3/28/2023,HURRY
647,3/27/2023,GUANO
646,3/26/2023,UNTIE
645,3/25/2023,VOTER
644,3/24/2023,GROUT
643,3/23/2023,STAID
642,3/22/2023,DUVET
641,3/21/2023,TOUGH
640,3/20/2023,GLOVE
639,3/19/2023,CREDO
638,3/18/2023,YACHT
637,3/17/2023,MEALY
636,3/16/2023,CIDER
635,3/15/2023,SWEEP
634,3/14/2023,SURLY
633,3/13/2023,BLAME
632,3/12/2023,BIRTH
631,3/11/2023,EMAIL
630,3/10/2023,REVEL
629,3/9/2023,WHERE
628,3/8/2023,REGAL
627,3/7/2023,HORSE
626,3/6/2023,PINKY
625,3/5/2023,TOXIC
624,3/4/2023,TREND
623,3/3/2023,SQUAT
622,3/2/2023,ABOVE
621,3/1/2023,MOOSE
620,2/28/2023,POLKA
619,2/27/2023,WORSE
618,2/26/2023,SYRUP
617,2/25/2023,FIFTY
616,2/24/2023,ARBOR
615,2/23/2023,VAGUE
614,2/22/2023,RIPER
613,2/21/2023,RUDDY
612,2/20/2023,SWEAT
611,2/19/2023,KIOSK
610,2/18/2023,AVAIL
609,2/17/2023,CACHE
608,2/16/2023,MAGIC
607,2/15/2023,SALSA
606,2/14/2023,SOUND
605,2/13/2023,USAGE
604,2/12/2023,GIANT
603,2/11/2023,DEBUG
602,2/10/2023,HEADY
601,2/9/2023,STAGE
600,2/8/2023,FLAIL
599,2/7/2023,APPLE
598,2/6/2023,NINTH
597,2/5/2023,DANCE
596,2/4/2023,UNLIT
595,2/3/2023,TASTY
594,2/2/2023,SHIRK
593,2/1/2023,SCOLD
592,1/31/2023,CROSS
591,1/30/2023,CRAVE
590,1/29/2023,FISHY
589,1/28/2023,FLIRT
588,1/27/2023,WORRY
587,1/26/2023,BEEFY
586,1/25/2023,MAIZE
585,1/24/2023,COUNT
584,1/23/2023,ELUDE
583,1/22/2023,MATEY
582,1/21/2023,BLURB
581,1/20/2023,ALTER
580,1/19/2023,MUCKY
579,1/18/2023,CHARD
578,1/17/2023,ADOPT
577,1/16/2023,FROCK
576,1/15/2023,SPIRE
575,1/14/2023,KOALA
574,1/13/2023,HUMAN
573,1/12/2023,LEAPT
572,1/11/2023,SEDAN
571,1/10/2023,GRIMY
570,1/9/2023,PIXIE
569,1/8/2023,OPERA
568,1/7/2023,LEMON
567,1/6/2023,BELIE
566,1/5/2023,SLEEK
565,1/4/2023,LAYER
564,1/3/2023,ANTIC
563,1/2/2023,SKIRT
562,1/1/2023,WHINE
561,12/31/2022,MANLY
560,12/30/2022,MOLAR
559,12/29/2022,HAVOC
558,12/28/2022,IMPEL
557,12/27/2022,CONDO
556,12/26/2022,JUDGE
555,12/25/2022,EXTRA
554,12/24/2022,POISE
553,12/23/2022,AORTA
552,12/22/2022,EXCEL
